slug,name,status,risk_level,source_type,source_page_url,image_url,local_file,note
baekban-seomyeon-marathon-jib,마라톤집,skipped_unsafe,unsafe,user_generated,https://www.siksinhot.com/P/327469,,,공식 홈페이지 없음(백년가게). 식신·다이닝코드·인스타(UGC)만. SAFE 후보 없음.
live-today-samjin-eomuk,삼진어묵 본점,review_needed,review,official_site,https://www.samjinfood.com/,,,자체 공식 쇼핑몰 있음(대기업 삼진어묵). 다만 홈페이지 이미지는 캠핑굿즈 배너·선물세트 포장 등 마케팅 위주라 깔끔한 어묵 음식사진 추출이 어려움(REVIEW). 제품 상세페이지에서 깔끔한 어묵컷 수동 확보 가능.
tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=irtFw3LkpTII,,,우일종합시장 노점. 공식 홈페이지 없음. 다이닝코드·트립·인스타(UGC)만. SAFE 후보 없음.
sungsik-gaegeum-milmyeon,개금 밀면 본점,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002002001&uc_seq=1602&lang_cd=ko,,,Visit Busan + 관광공사 기사(SAFE). 이미지 JS 로딩. 페이스북 페이지는 로그인 필요(사용 불가). 운영자 수동 확보 권장.
hibab-haeundae-amsogalbi,해운대 암소갈비집,downloaded_safe,safe,official_site,https://www.haeundaegalbi.com/galbi,https://images.squarespace-cdn.com/content/v1/653a08177d446d0ac77359b4/c23d9911-121b-4137-8b18-34c8ad5f0653/2-2.jpg,hibab-haeundae-amsogalbi.webp,"공식 홈페이지(자체 도메인) /galbi 페이지의 암소갈비+반찬 음식사진. 가로형, 워터마크/얼굴 없음. 800x449 webp."
matnyuk-sasang-doejigalbi,시골집명품석갈비,no_candidate_found,unknown,unknown,,,,검색으로 해당 지점(시골집명품석갈비/사상 돼지갈비)을 명확히 특정하지 못함. 공식·관광·SAFE 출처 미발견. 데이터(상호/지점) 확인 권장.
sungsik-seomyeon-yanggopchang,문화양곱창,skipped_unsafe,unsafe,user_generated,https://www.siksinhot.com/P/1244984,,,양곱창 골목 식당. 공식 홈페이지 없음. 식신·다이닝코드·망고플레이트·트립(UGC)만. SAFE 후보 없음.
2tv-gumjeong-geumjukheon,금죽헌 금정산성점,skipped_unsafe,unsafe,user_generated,https://app.catchtable.co.kr/ct/shop/geumjukheon,,,공식 홈페이지 없음. 캐치테이블·스레드·메뉴통(UGC)만. 관광페이지는 식당이 아닌 금정산성 일대 소개. SAFE 후보 없음.
saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=0IZXvRLFlKce,,,공식 홈페이지 없음. 다이닝코드·스레드(사장 계정)만. SAFE 후보 없음.
saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,review_needed,review,article,https://www.newsbuzz.co.kr/news/articleView.html?idxno=5884,,,공식 홈페이지/스마트스토어 미발견. 생활의달인 소개 언론기사(REVIEW)에 빵 사진 가능. 인스타(@misam_ricebread)는 로그인 필요. 운영자 판단 필요.
iganae-tteokbokki,이가네떡볶이 본점,review_needed,review,official_site,https://leegane.co.kr/,,,자체 도메인 공식몰 있음. 다만 양념장 제품/마케팅 상세이미지(텍스트·인물 다수) 위주라 깔끔한 떡볶이 단독 음식사진 추출 어려움(REVIEW). 메뉴 페이지에 떡볶이 사진 있으나 합성 상세컷.
saengdal-jeonpo-toda-park,토다공원,skipped_unsafe,unsafe,official_sns,https://www.instagram.com/toda_park/,,,공식 인스타(@toda_park)만 존재 — 인스타는 로그인 필요/규칙상 UNSAFE. 다른 SAFE 출처 없음.
kimyusun-daegu-bbol-jjim,김유순대구뽈찜전문점,review_needed,safe,public_tourism,https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=564&lang_cd=ko,,,공식 홈페이지 없음. Visit Busan + 관광공사(SAFE) 존재. 정적 HTML 은 placeholder(top_bg_error.gif)만 노출 → 자동추출 불가. 운영자 수동 확보 권장.
saengdal-ssangdungyi-doejigukbap,쌍둥이돼지국밥,review_needed,safe,public_tourism,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=19ff9114-d5d7-40f3-9cd1-0564e8f023ee,,,관광공사(KTO) 등재(SAFE). tong.visitkorea CDN 에서 추출한 이미지는 음식이 아닌 외관(간판) 사진이라 제외. 본점이 대연동(서면 아님) 가능성 — 데이터 확인 필요. 운영자가 관광공사 페이지에서 음식사진 직접 확인 권장.
live-today-donggu-halme-gimbap,할매김밥,skipped_unsafe,unsafe,user_generated,https://www.diningcode.com/profile.php?rid=eyEGJno1OJ2y,,,공식 홈페이지/관광페이지 없음. 다이닝코드·SNS(UGC)만. SAFE 후보 없음.
hoeguksu-halmaejip,회국수할매집,review_needed,safe,public_tourism,https://access.visitkorea.or.kr/food/detail.do?cotId=b480c9c1-7231-4eca-9541-6adb84e1ae00,,,"공식 홈페이지 없음. 열린관광(관광공사) 음식 페이지 존재(SAFE), 갤러리 5장이나 JS 슬라이더 로딩으로 자동추출 불가. 운영자 수동 확보 권장."
