priority_rank,id,slug,name,db_address,db_phone,kakao_map_url,classification,business_status,kakao_phone,naver_web_phone,recommended_phone,phone_match,branch_match,recommendation,review_reason,sources
16,081ea8e9-c0e1-49b2-bcc8-90369c730855,sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,부산 해운대구 해운대로570번길 11 2층,,place 13299874(검색링크),REVIEW,영업중,051-731-4222,,051-731-4222,KAKAO_ONLY,해운대본점(미포본점 051-744-0238 별개),추가 검증(2차 출처),"Kakao 지역번호 051-731-4222 단독, 웹에서 전화 미노출. 미포본점과 구분됨. 네이버지도 2차 확인 필요","Kakao Local API; 식신; 다이닝코드"
17,4bb57c0f-1571-4c30-9e28-e5e89d062d93,hoeguksu-halmaejip,회국수할매집,부산 부산진구 서면문화로 5,,place 11260858(검색링크),EXACT_MATCH,영업중,051-817-9260,051-817-9260,051-817-9260,EXACT,단일,승인 후 반영,"Kakao+식신+autoreserve 051-817-9260 일치","Kakao Local API; 식신; autoreserve"
18,889f4bc5-cb01-40d3-aa7b-45f319a675bf,samdae-seomyeon-wonjo-halmae-nakji,원조할매낙지,부산 부산진구 골드테마길 10,,place 8035148,EXACT_MATCH,영업중,051-643-5037,051-643-5037,051-643-5037,EXACT,범일동 본점(창원·안동·대전 별개),승인 후 반영,"Kakao+공식 인스타+트립+다이닝 051-643-5037 일치","Kakao Local API; 공식 인스타그램; 트립닷컴; 다이닝코드"
19,168c8089-fc82-4c44-8009-fa9e80158d0d,iganae-tteokbokki,이가네떡볶이 본점,부산 중구 부평1길 48,,place 20204736,EXACT_MATCH,영업중,051-245-0413,051-245-0413,051-245-0413,EXACT,본점(서울·롯데부산본점 별개),승인 후 반영,"Kakao+식신+트립+다이닝 051-245-0413 일치","Kakao Local API; 식신; 트립닷컴; 다이닝코드"
20,f8560a38-de47-4618-b687-6ccfbb4bded0,sungsik-gwangalli-geumson-1983,금손1983,부산 수영구 수영로680번길 54 1층,,place 855139094,REVIEW,영업중,051-711-1983,051-921-1983,051-711-1983,CONFLICT,단일,추가 검증(번호 충돌),"Kakao 051-711-1983 vs 웹 요약 051-921-1983 충돌(가운데자리 711/921 상이). 네이버지도 확인 필요","Kakao Local API; 식신; 114On"
21,a6e2fab3-4fbb-44ba-a85d-26a16e04466a,sungsik-gwangalli-haejin-anago,해진아나고,부산 수영구 광서로10번길 47,,place 22205150,REVIEW,영업중,010-8599-1090,051-757-9262,051-757-9262,CONFLICT,단일,추가 검증(개인폰 vs 지역번호),"Kakao는 개인 휴대폰 010-8599-1090, 웹(식신·다이닝·polle)은 지역번호 051-757-9262. 개인폰 추천 금지 원칙상 지역번호 우선이나 Kakao와 충돌 → 네이버지도 확인 필요","Kakao Local API; 식신; 다이닝코드; polle"
22,c520dec7-4493-45c4-a332-a4efa410d528,tzuyang-gwangalli-darijip,다리집,부산 수영구 남천바다로10번길 70 101호,,place 8849564,REVIEW,영업중,,010-8898-6681,,PERSONAL_ONLY,본점,추가 검증(지역 대표번호 부재),"Kakao 전화 없음, 웹(다이닝·식신·triple)은 개인 휴대폰 010-8898-6681만 확인. 개인폰 추천 금지 → 지역 대표번호 확인 필요","Kakao Local API; 다이닝코드; 식신; 트립닷컴"
23,d8dc7a0b-da48-411d-ad76-e9821b358563,tzuyang-haeundae-sanggukine,상국이네,부산 해운대구 구남로41번길 40-1 (해운대전통시장),,place 9089301,REVIEW,영업중,051-742-9001,070-7776-7715,051-742-9001,CONFLICT,본점(센텀점 051-745-2102 별개),추가 검증(지역 vs 070),"Kakao 지역번호 051-742-9001 vs 웹 070-7776-7715(인터넷전화) 충돌. 네이버지도 확인 필요","Kakao Local API; 다이닝코드; 트립닷컴"
24,4e22727f-a842-4126-9307-55110f5a7355,tzuyang-seomyeon-dongchuni-mandu,동춘이만두,부산 부산진구 당감로25번길 11,,place 27361254,REVIEW,영업중,051-896-1869,,051-896-1869,KAKAO_ONLY,단일(인천 동춘 별개),추가 검증(2차 출처),"Kakao 지역번호 051-896-1869 단독, 웹 전화 미노출. 네이버지도 2차 확인 필요","Kakao Local API; 다이닝코드"
25,574a0e06-0835-4496-a809-9a80388070b3,wonjo-gaya-milmyeon,원조가야밀면,부산 사하구 낙동대로451번길 33,,place 505835564,NO_MATCH,영업중(추정),,,,NOT_FOUND,사하구 하단점(동명 다지점),수동 확인,"사하구 낙동대로451번길 33 지점은 Kakao·웹 모두 전화 미확보. 다른 지점(온천장051-552-0081·거제070-5088-0407 등)만 확인되어 혼입 위험 → 해당 지점 직접 확인 필요","Kakao Local API; 다이닝코드; 식신"
26,9d8c1860-f09b-43fb-9028-0e5ba72c513d,baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,부산 영도구 절영로49번길 25,,place 15526776,REVIEW,영업중,051-413-8609,051-413-8609,051-413-8609,ADDR_CONFLICT,영도(주소 정체 불명),추가 검증(주소 교정 선행),"전화 051-413-8609는 Kakao+웹(백반기행 출연) 일치하나, DB 주소(절영로49번길 25)와 실제 Kakao place(15526776=남항시장길 350) 불일치. 주소 교정 선행 필요","Kakao Local API; 트립닷컴; 페이스북(백반기행)"
27,432ac814-40a5-4516-ab73-e717144b3ad2,ansungjae-yeonje-mapobonga,마포본가,부산 연제구 월드컵대로111번길 10,,place 17981818,REVIEW,영업중,051-867-9252,0507-1478-9253(안심),051-867-9252,CONFLICT,단일(수원·서울 마포본가 별개),추가 검증(끝자리 불일치),"Kakao 지역번호 051-867-9252 vs 웹 안심번호 0507-1478-9253(끝자리 9252/9253 불일치)로 착신관계 불명확. 네이버지도 확인 필요","Kakao Local API; 테이블링; 공식 인스타"
29,cac8680a-5844-429f-8915-9080fda28df3,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,부산 남구 문현금융로 4,,place 26436780,REVIEW,영업중,051-635-8587,,051-635-8587,KAKAO_ONLY,단일,추가 검증(2차 출처),"Kakao 지역번호 051-635-8587 단독, 웹 전화 미노출. 네이버지도 2차 확인 필요","Kakao Local API; 다이닝코드; 전현무계획2 관련"
30,534984b5-7b03-4945-9f1e-0d88fd57b7a3,saengdal-geumjeong-songs-bakery,송스 베이커리,부산 금정구 수림로 26,,place 1678402588,EXACT_MATCH,영업중,051-518-0303,051-518-0303,051-518-0303,EXACT,단일,승인 후 반영,"Kakao+식신+다이닝+bakerynews 051-518-0303 일치","Kakao Local API; 식신; 다이닝코드; 베이커리뉴스"
