phase,category,summary,output,commit,business_value,portfolio_value,notes
"Foundation","app","Next App Router 앱 + slug SEO 라우트 + mock 데이터","홈/목록/상세/검색/지도/저장 골격","4ba44a8","low","medium","초기 골격(init 5626929)"
"Supabase 연동","data","공개 데이터를 Supabase 레이어로 전환","목록/홈/검색/지도/저장 DB 연동","18ecfe8","low","medium","9626a89~f1aa23d 일괄"
"SEO 기반","seo","구조화 데이터·동적 OG·ISR","Restaurant/Breadcrumb/WebSite JSON-LD + OG 이미지 + sitemap","955b097","medium","high","fb042d9(OG)/536d685(ISR)/b22bfd6(WebSite)"
"랜딩/탐색","seo","program/area/creator/category 랜딩 + 검색 개선 + 랜딩 intro","SEO 내부링크·검색의도 보강","c1b067d","medium","high","9f2e37d/dd2a770/b87635e/e8ca8b7/2330ec7"
"방송 출연 1:N","data","restaurant_appearances 스키마/읽기/이력","다중 방송 출연 표시","25d8502","low","medium","1e4eef0/705e1f6"
"Admin CMS - 제보","admin","제보 큐 + IP/slug rate limit","restaurant_reports","fa3be6c","low","high","0138cae/dd74545"
"Admin CMS - 후보/변환/게시","admin","candidate_queue → 변환 → 게시 워크플로","운영자 CMS 코어","cbefe33","low","high","bdac601/4088f1f/ede7afc/b71ea2a"
"Admin CMS - 편집/안전","admin","편집 폼·draft 삭제·좌표검증·로그인/로그아웃","운영 안전장치","58cb8df","low","high","9f93e45/6dfe130/dfb6c74/7b00b79"
"빠른 등록","admin","붙여넣기 파싱 빠른 등록","운영자 입력 효율","c013fe4","low","medium","5909207/8b5a26b"
"DATA-G1 후보 수집","data","신규 후보 18곳 수집","candidate 리포트","a9124e2","medium","medium","공개 웹 검색 수준"
"DATA-G3 import","data","13곳 Kakao 지오코딩 후 비공개 INSERT","비공개 식당 적재","221a1c4","medium","medium","좌표 추정 금지"
"DATA-G4 preflight","data","공개 전 read-only 검증","publish-ready 판정","864d167","medium","medium",""
"DATA-G5 공개","data","보완 후 공개 전환(78→91)","공개 식당 91곳","d4766c1","medium","medium",""
"이미지 운영","image","안전 썸네일 파이프라인 + 운영자 실사진","상단 신규 4곳 실사진","49b1ca1","low","medium","9d82767(upsert script)/babb152 등, 9곳 backlog"
"UX-H1 상세 압축","ux","상세 압축 + 출처 칩 + CTA 상단 배치","모바일 첫화면 정보밀도 개선","667885a","low","medium","sources.ts resolver 도입"
"UX-H2 카피 톤","ux","공개 카피를 출처 기반 큐레이션 톤으로 정렬","브랜드 톤 일관","4a36195","low","medium","12파일 문구"
"TRUST-H3 설계","trust","restaurant_trust_sources 설계+타입+resolver 확장","신뢰 출처 그릇","cf51413","medium","high","운영DB 미적용(문서로 분리)"
"TRUST-H4 적용/런타임","trust","운영DB 적용 + fallback-safe 조회","런타임 연동","2bab64d","medium","high","적용 검증은 무커밋"
"TRUST-H5 Admin CRUD","trust","신뢰 출처 입력 UI(service_role)","운영자 입력 경로","1f1a2aa","medium","high",""
"TRUST-H6 상세 표시","trust","상세 '추가 출처' 영역 표시","신뢰 신호 가시화","a419d7d","medium","high","source_note public 비노출"
"TRUST-H7 링크 검증","trust","source_url '출처 보기' 끝단 검증","링크 보안속성 확인","none","low","medium","데이터 검증 후 복원, 무커밋"
"TRUST-H8 후보 리포트","trust","공개 웹 신뢰 출처 후보 조사 리포트","yes 5건 후보","f53708b","medium","high","DB 입력 없음"
"TRUST-H9 import","trust","yes 5건 안전 import(2 public/3 staged)","신뢰 출처 라이브","622b0a1","medium","high","reports만 커밋"
"PORT-P1 포트폴리오","docs","case study + 요약 + 타임라인 정리","포트폴리오 자산","pending","low","high","docs/reports만, 코드/DB 변경 없음"
