slug,name,source_kind,source_name,source_url,source_title,trust_label,confidence,legal_risk,input_recommendation,reason
"saengdal-gwangalli-baegil-pyeongnaeng","백일평냉","guide","미쉐린 가이드","https://guide.michelin.com/us/en/busan-region/busan_1025838/restaurant/100-1-pyeongnaeng","미쉐린 가이드 부산 빕 구르망","미쉐린 빕구르망","high","low","yes","공식 미쉐린 도메인+검색 색인 제목 식당명 일치. 자동 fetch 403이라 본문 미확인 → 운영자 클릭 확인"
"saengdal-seomyeon-dammiok","담미옥","guide","미쉐린 가이드","https://guide.michelin.com/us/en/busan-region/busan_1025838/restaurant/damiok","미쉐린 가이드 부산 빕 구르망","미쉐린 빕구르망","high","low","yes","공식 미쉐린 도메인+검색 제목 일치. 개금→중앙동 이전 정보 있어 주소 현행 확인 필요"
"hibab-haeundae-amsogalbi","해운대 암소갈비집","guide","미쉐린 가이드","https://guide.michelin.com/us/en/busan-region/busan_1025838/restaurant/haeundae-rib-barbecue-restaurant","미쉐린 가이드 부산 등재","미쉐린 가이드 등재","high","low","yes","공식 미쉐린 도메인+검색 제목 일치(자동 fetch 403)"
"hibab-haeundae-amsogalbi","해운대 암소갈비집","local","비짓부산","https://visitbusan.net/index.do?menuCd=DOM_000000202017001000&uc_seq=2317&lang_cd=ko","부산 공식 관광 소개","부산 공식 관광 소개","medium","low","yes","부산 공식 관광 도메인 검색 제목 식당명 일치(추천여행 기사). 운영자 클릭 확인"
"tzuyang-nampo-ijaemo-pizza","이재모피자 본점","local","비짓부산","https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=124&lang_cd=ko","부산 공식 관광 소개","부산 공식 관광 소개","high","low","yes","WebFetch 확인됨: 페이지가 이재모피자 본점을 다룸"
"tzuyang-nampo-ijaemo-pizza","이재모피자 본점","reservation","캐치테이블","https://app.catchtable.co.kr/ct/shop/leejaemo","예약·웨이팅","예약·웨이팅 가능","medium","low","hold","shop slug leejaemo 일치하나 현장 접수 전용·현행 여부 운영자 확인"
"hibab-haeundae-amsogalbi","해운대 암소갈비집","reservation","캐치테이블","https://app.catchtable.co.kr/ct/shop/hgh","예약·웨이팅","예약·웨이팅 가능","low","low","hold","shop slug hgh 식당 일치 불확실 — 확인 필요"
"ansungjae-yeonje-mapobonga","마포본가","reservation","테이블링","https://www.tabling.co.kr/place/677cc8e066de5f069877cd69","예약·웨이팅","예약·웨이팅 가능","medium","low","hold","연산동 지점 일치/현행 확인 필요. 기존 video_url은 부산일보 기사"
"2tv-sasang-yeonghui-halmae-jaecheopguk","영희할매재첩국","local","비짓부산","https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1519&lang_cd=ko","부산 공식 관광 소개","부산 공식 관광 소개","low","low","hold","비짓부산명 할매재첩국부산본점 — DB명 영희할매재첩국과 불일치, 동일성 확인 필요"
"samdae-haeundae-wonjo-halmae-gukbap","해운대원조할매국밥","guide","백년가게","","백년가게 인증","백년가게 인증","medium","low","hold","백년가게 인증 언급되나 공식 목록 URL 미확보 — 운영자가 백년가게 공식 목록 확인"
"wonjo-gaya-milmyeon","원조가야밀면","guide","블루리본 서베이","https://www.bluer.co.kr/","부산 맛집 가이드","가이드 수록","low","low","hold","선정 미확인 + 동명 지점 다수(거제동/부산진/온천장) 지점 특정 필요"
"2tv-gumjeong-geumjukheon","금죽헌 금정산성점","local","금정구 문화관광","https://www.geumjeong.go.kr/tour/index.geumj?menuCd=DOM_000000414004002013","금정 맛집 안내","지역 관광 안내","low","low","hold","금죽헌 단독 등재 미확인(목록 페이지 수준)"
"live-today-suyeong-geumsin-jeonseon-sangyusibi","금신전선 상유십이","other","다이닝코드","https://www.diningcode.com/profile.php?rid=do3i8FGHr7Xm","빅데이터 맛집 집계","집계 등록","low","medium","hold","집계 플랫폼이라 권위 약. 식스센스(tvN) 출연은 appearances로 별도 검토"
"(전체)","blog 후보 일반","blog","블로그/리뷰","","","","low","high","no","blog 본문/리뷰 복제 위험·저우선(ablo.kr/brunch/네이버블로그). 입력 비추천"
